mac,brand
78-C4-AB,Shenzhen Runsil Technology Ltd
B0-A8-6E,Juniper Networks
80-2A-FA,Germaneers GmbH
18-42-1D,Private
28-C9-14,Taimag Corporation
74-93-A4,Zebra Technologies Corp.
E4-71-85,Securifi Ltd
08-0C-C9,Mission Technology Group, dba Magma
64-0E-94,Pluribus Networks Inc.
0C-B4-EF,Digience Ltd
14-6A-0B,Cypress Electronics Limited
5C-EE-79,Global Digitech Ltd
4C-AA-16,Azurewave Technologies Inc.
AC-40-EA,C&T Solution Inc.
00-2A-AF,LARsys-Automation GmbH
1C-E1-65,Marshal Corporation
40-16-FA,EKM Metering
0C-13-0B,Uniqoteq Ltd
2C-54-2D,Cisco Systems Inc.
BC-14-01,Hitron Technologies Inc.
94-CA-0F,Honeywell Analytics
78-25-44,Omnima Limited
A4-18-75,Cisco Systems Inc.
C8-AE-9C,Shanghai TYD Elecronic Technology Ltd
AC-3F-A4,Taiyo Yuden Ltd
6C-AE-8B,IBM Corporation
40-AC-8D,Data Management Inc.
80-CE-B1,Theissen Training Systems GmbH
FC-2A-54,Connected Data Inc.
04-5C-06,Zmodo Technology Corporation
74-7B-7A,ETH Inc.
48-EA-63,Zhejiang Uniview Technologies Ltd
E8-8D-F5,ZNYX Networks Inc.
90-F7-2F,Phillips Machine & Welding Co. Inc.
D0-57-85,Pantech Ltd
40-8B-07,Actiontec Electronics Inc.
28-41-21,OptiSense Network LLC
38-45-8C,MyCloud Technology Corporation
10-E4-AF,APR LLC
F4-EA-67,Cisco Systems Inc.
2C-2D-48,bct electronic GesmbH
28-BA-18,NextNav LLC
AC-3D-75,Hangzhou Zhiway Technologies Ltd
A0-90-DE,Veedims,LLC
64-2D-B7,Seungil Electronics
00-2A-6A,Cisco Systems Inc.
F4-36-E1,Abilis Systems SARL
78-1C-5A,Sharp Corporation
E8-0C-75,Syncbak Inc.
80-0A-06,CoMTEC Ltd
60-8C-2B,Hanson Technology
94-00-70,Nokia Corporation
BC-2C-55,Bear Flag Design Inc.
0C-75-23,Beijing Gehua Catv Network Ltd
04-F0-21,Compex Systems Pte Ltd
28-18-FD,Aditya Infotech Ltd
D8-B9-0E,Triple Domain Vision Ltd
34-2F-6E,Anywire Corporation
CC-EE-D9,VAHLE Automation GmbH
00-5C-B1,Gospell DIGITAL TECHNOLOGY Ltd
B0-8E-1A,URadio Systems Ltd
D8-E9-52,Keopsys
BC-A4-E1,Nabto
90-8F-CF,UNO System Ltd
40-E7-93,Shenzhen Siviton Technology Ltd
00-08-31,Cisco Systems Inc.
34-D0-9B,MobilMAX Technology Inc.
F0-00-7F,Janz - Contadores de Energia, SA
30-B3-A2,Shenzhen Heguang Measurement & Control Technology Ltd
50-60-28,Xirrus Inc.
00-91-FA,Synapse Product Development
A0-5A-A4,Grand Products Nevada Inc.
F0-EE-BB,VIPAR GmbH
6C-E9-07,Nokia Corporation
E4-FA-1D,PAD Peripheral Advanced Design Inc.
1C-5C-55,PRIMA Cinema Inc.
34-BA-9A,Asiatelco Technologies Co.
50-64-41,Greenlee
9C-1F-DD,Accupix Inc.
7C-DD-11,Chongqing MAS SCI&TECH Ltd
B8-FD-32,Zhejiang ROICX Microelectronics
70-EE-50,Netatmo
98-4A-47,CHG Hospital Beds
14-49-78,Digital Control Incorporated
2C-10-C1,Nintendo Ltd
8C-D1-7B,CG Mobile
50-22-67,PixeLINK
3C-6A-7D,Niigata Power Systems Ltd
3C-70-59,MakerBot Industries
50-26-90,Fujitsu Limited
24-B6-57,Cisco Systems Inc.
C8-AF-40,marco Systemanalyse und Entwicklung GmbH
40-98-4C,Casacom Solutions AG
5C-18-B5,Talon Communications
64-E1-61,DEP Corp.
88-23-FE,TTTech Computertechnik AG
B8-9A-ED,OceanServer Technology Inc.
C8-7D-77,Shenzhen Kingtech Communication Equipment Ltd
94-AE-61,Alcatel Lucent
5C-CE-AD,CDYNE Corporation
AC-54-EC,IEEE P1823 Standards Working Group
70-97-56,Happyelectronics Ltd
B8-20-E7,Guangzhou Horizontal Information & Network Integration Ltd
00-CD-90,MAS Elektronik AG
7C-6B-52,Tigaro Wireless
00-64-A6,Maquet CardioVascular
98-8B-AD,Corintech Ltd
D4-4B-5E,Taiyo Yuden Ltd
64-0E-36,Taztag
94-1D-1C,TLab West Systems AB
E4-55-EA,Dedicated Computing
B0-5C-E5,Nokia Corporation
34-82-DE,Kiio Inc
4C-5F-D2,Alcatel-Lucent
28-C7-18,Altierre
7C-4C-58,Scale Computing Inc.
10-13-EE,Justec International Technology Inc.
8C-27-1D,QuantHouse
38-60-77,Pegatron Corporation
70-81-05,Cisco Systems Inc.
E0-ED-1A,vastriver Technology Ltd
D4-F6-3F,IEA S.R.L.
58-B0-D4,ZuniData Systems Inc.
64-55-7F,NSFOCUS Information Technology Ltd
00-08-2F,Cisco Systems Inc.
9C-C7-D1,Sharp Corporation
14-90-90,KongTop Industrial(shen zhen) Ltd
38-DE-60,Mohlenhoff GmbH
28-39-E7,Preceno Technology Pte Ltd
68-5E-6B,PowerRay Ltd
20-C8-B3,Shenzhen BUL-Tech Ltd
F8-E7-B5,uTech Tecnologia LtdA
D4-CE-B8,Enatel Ltd
80-7A-7F,ABB Genway Xiamen Electrical Equipment Ltd
24-DA-B6,Sistemas de Gestion Energetica S.A. de C.V
B0-7D-62,Dipl.-Ing. H. Horstmann GmbH
B8-F5-E7,WayTools LLC
B8-19-99,Nesys
34-25-5D,Shenzhen Loadcom Technology Ltd
4C-A7-4B,Alcatel Lucent
D0-31-10,Ingenic Semiconductor Ltd
1C-E1-92,Qisda Corporation
70-6F-81,Private
FC-00-12,Toshiba Samsung Storage Technolgoy Korea Corporation
18-14-20,TEB SAS
AC-81-F3,Nokia Corporation
30-68-8C,Reach Technology Inc.
10-EE-D9,Canoga Perkins Corporation
94-DE-0E,SmartOptics AS
C0-29-F3,XySystem
AC-4A-FE,Hisense Broadband Multimedia Technology Ltd
54-F5-B6,Oriental Pacific International Limited
90-34-2B,Gatekeeper Systems Inc.
8C-B8-2C,IPitomy Communications
80-7D-E3,Chongqing Sichuan Instrument Microcircuit Ltd
DC-17-5A,Hitachi High-Technologies Corporation
C8-A1-BA,Neul Ltd
C4-3A-9F,Siconix Inc.
68-6E-23,Wi3 Inc.
DC-F0-5D,Letta Teknoloji
84-8F-69,Dell Inc.
3C-09-6D,Powerhouse Dynamics
90-0D-66,Digimore Electronics Ltd
0C-92-4E,Rice Lake Weighing Systems
F4-94-61,NexGen Storage
B8-CD-A7,Maxeler Technologies Ltd
54-35-DF,Symeo GmbH
F4-3D-80,FAG Industrial Services GmbH
F0-DB-30,Yottabyte
9C-31-B6,Kulite Semiconductor Products Inc
A4-B3-6A,JSC SDO Chromatec
E4-DD-79,En-Vision America Inc.
E8-CC-32,Micronet Ltd
D4-3A-E9,DONGGUAN ipt IndUSTRIAL Ltd
8C-5C-A1,d-broad,Inc
18-F6-50,Multimedia Pacific Limited
68-84-70,eSSys Ltd
48-DC-FB,Nokia Corporation
20-B7-C0,OMICRON electronics GmbH
80-58-C5,NovaTec Kommunikationstechnik GmbH
B8-C7-16,Fiberhome Telecommunication Technologies Ltd
D4-2C-3D,Sky Light Digital Limited
A4-5A-1C,smart-electronic GmbH
80-64-59,Nimbus Inc.
8C-89-A5,Micro-Star International
B4-A5-A9,MODI GmbH
C4-36-DA,Rusteletech Ltd
04-32-F4,Partron
1C-18-4A,Shenzhen RicherLink Technologies Ltd
0C-39-56,Observator instruments
DC-A6-BD,Beijing Lanbo Technology Ltd
10-C5-86,BIO Sound LAB Ltd
10-76-8A,EoCell
F4-4E-FD,Actions Semiconductor Ltd(Cayman Islands)
24-B8-D2,Opzoon Technology Ltd
A4-99-81,FuJian Elite Power Tech Ltd
B8-3A-7B,Worldplay (Canada) Inc.
14-07-E0,Abrantix AG
DC-CF-94,Beijing Rongcheng Hutong Technology Ltd
A4-DB-2E,Kingspan Environmental Ltd
C8-FE-30,Bejing DAYO Mobile Communication Technology Ltd
E4-D7-1D,Oraya Therapeutics
24-C9-DE,Genoray
54-05-5F,Alcatel Lucent
6C-5D-63,Shenzhen Rapoo Technology Ltd
94-16-73,Point Core SARL
5C-56-ED,3pleplay Electronics Private Limited
78-02-8F,Adaptive Spectrum and Signal Alignment (ASSIA) Inc.
DC-16-A2,Medtronic Diabetes
30-8C-FB,Dropcam
D0-EB-9E,Seowoo Inc.
BC-CD-45,Voismart
14-3E-60,Nokia
70-32-D5,Athena Wireless Communications Inc
78-51-0C,LiveU Ltd
44-AA-E8,Nanotec Electronic GmbH & Co. KG
D4-28-B2,ioBridge Inc.
84-27-CE,Corporation Of the Presiding Bishop Of The Church Of Jesus Christ Of Latter-day Saints
48-D8-FE,ClarIDy Solutions Inc.
D4-94-5A,Cosmo Ltd
30-4C-7E,Panasonic Electric Works Automation Controls Techno Ltd
5C-F2-07,Speco Technologies
B4-2A-39,ORBIT MERRET, spol. s r. o.
70-E8-43,Beijing C&W Optical Communication Technology Ltd
2C-7E-CF,Onzo Ltd
50-E5-49,Giga-Byte Technology Ltd
B4-B8-8D,Thuh Company
4C-73-A5,Kove
70-A4-1C,Advanced Wireless Dynamics S.L.
BC-BB-C9,Kellendonk Elektronik GmbH
E4-2A-D3,Magneti Marelli S.p.A. Powertrain
E8-3E-B6,RIM
BC-35-E5,Hydro Systems Company
9C-5D-95,VTC Electronics Corp.
B8-A8-AF,Logic S.p.A.
60-F6-73,Terumo Corporation
28-CC-FF,Corporacion Empresarial Altra SL
94-FD-1D,WhereWhen Corp
4C-07-C9,CoMPUTER OfFICE Ltd
F8-76-9B,Neopis Ltd
74-B0-0C,Network Video Technologies Inc.
E8-40-40,Cisco Systems Inc.
D8-9D-B9,eMegatech International Corp.
40-5A-9B,Anovo
E0-69-95,Pegatron Corporation
84-DE-3D,Crystal Vision Ltd
D0-75-BE,Reno A&E
BC-6E-76,Green Energy Options Ltd
E8-28-D5,Cots Technology
F8-DA-F4,Taishan Online Technology Ltd
08-D5-C0,Seers Technology Ltd
6C-33-A9,Magicjack LP
10-8C-CF,Cisco Systems Inc.
D8-E3-AE,Cirtec Medical Systems
08-B7-EC,Wireless Seismic
18-AF-9F,DIGITRONIC Automationsanlagen GmbH
00-B3-42,MacroSAN Technologies Ltd
1C-F5-E7,Turtle Industry Ltd
98-0E-E4,Private
44-7D-A5,Vtion Information Technology (Fujian) Ltd
0C-CD-D3,Eastriver Technology Ltd
E4-6C-21,messMa GmbH
00-B0-33,OAO Izhevskiy radiozavod
08-17-35,Cisco Systems Inc.
C8-9C-1D,Cisco Systems Inc.
E4-37-D7,Henri Depaepe S.A.S.
E0-A1-D7,SFR
94-81-A4,Azuray Technologies
BC-E0-9D,Eoslink
9C-22-0E,TASCAN Systems GmbH
7C-DD-90,Shenzhen Ogemray Technology Ltd
0C-3C-65,Dome Imaging Inc
C8-DF-7C,Nokia Corporation
B4-4C-C2,NR Electric Ltd
48-CB-6E,Cello Electronics (UK) Ltd
BC-43-77,Hang Zhou Huite Technology Ltd
CC-76-69,Seetech
AC-20-AA,DMATEK Ltd
FC-AF-6A,Qulsar Inc
34-6F-92,White Rodgers Division
34-BD-F9,Shanghai WDK Industrial Ltd
CC-BE-71,OptiLogix BV
0C-46-9D,MS Sedco
B0-9A-E2,STEMMER IMAGING GmbH
14-EE-9D,AirNav Systems LLC
78-D0-04,Neousys Technology Inc.
88-95-B9,Unified Packet Systems Crop
D8-FE-8F,IDFone Ltd
88-8C-19,Brady Corp Asia Pacific Ltd
44-8C-52,KTIS Ltd
00-6D-FB,Vutrix Technologies Ltd
84-18-88,Juniper Networks
90-67-B5,Alcatel-Lucent
E0-F3-79,Vaddio
78-B6-C1,AOBO Telecom Ltd
08-D2-9A,Proformatique
C8-93-83,Embedded Automation Inc.
78-A0-51,iiNet Labs Pty Ltd
80-4F-58,ThinkEco Inc.
04-75-F5,Csst
24-BA-30,Technical Consumer Products Inc.
18-8E-D5,TP Vision Belgium N.V. - innovation site Brugge
E8-0C-38,Daeyoung Information System Ltd
E0-8A-7E,Exponent
A8-B0-AE,Leoni
E4-27-71,Smartlabs
34-DF-2A,Fujikon Industrial Ltd
2C-DD-0C,Discovergy GmbH
40-B2-C8,Nortel Networks
70-A1-91,Trendsetter Medical LLC
70-8B-78,citygrow technology Ltd
64-31-7E,Dexin Corporation
3C-99-F7,Lansentechnology AB
50-7D-02,Biodit
B4-A4-E3,Cisco Systems Inc.
8C-1F-94,RF Surgical System Inc.
44-91-DB,Shanghai Huaqin Telecom Technology Ltd
14-D7-6E,CoNCH ELECTRONIC Ltd
AC-83-F0,ImmediaTV Corporation
CC-6B-98,Minetec Wireless Technologies
3C-04-BF,PRAVIS SysTEMS Ltd
94-DD-3F,A+V Link Technologies, Corp.
F4-42-27,S & S Research Inc.
C8-A7-29,Systronics Ltd
44-54-C0,Thompson Aerospace
C4-F4-64,Spica international
60-2A-54,CardioTek B.V.
BC-FF-AC,Topcon Corporation
44-5E-F3,Tonalite Holding B.V.
68-DB-96,OPWILL Technologies Co Ltd
7C-55-E7,YSI Inc.
70-B0-8C,Shenou Communication Equipment Ltd
C0-3B-8F,Minicom Digital Signage
20-FE-DB,M2M Solution S.A.S.
0C-8D-98,TOP Eight Ind Corp
40-C7-C9,Naviit Inc.
7C-BB-6F,Cosco Electronics Ltd
94-A7-BC,BodyMedia Inc.
C8-A1-B6,Shenzhen Longway Technologies Ltd
64-A2-32,OOO Samlight
64-FC-8C,Zonar Systems
D0-57-4C,Cisco Systems Inc.
F8-DA-E2,NDC Technologies
70-5E-AA,Action Target Inc.
34-F9-68,ATEK Products LLC
20-B0-F7,Enclustra GmbH
54-31-31,Raster Vision Ltd
D0-E3-47,Yoga
F0-ED-1E,Bilkon Bilgisayar Kontrollu Cih. Im Ltd
C4-16-FA,Prysm Inc
50-6F-9A,Wi-Fi Alliance
84-29-14,EMPORIA TELECOM Produktions- und VertriebsgesmbH & Co KG
BC-7D-D1,Radio Data Comms
58-50-76,Linear Equipamentos Eletronicos SA
F0-F9-F7,IES GmbH & Co. KG
38-58-0C,Panaccess Systems GmbH
44-51-DB,Raytheon BBN Technologies
DC-FA-D5,STRONG Ges.m.b.H.
6C-8D-65,Wireless Glue Networks Inc.
98-03-A0,ABB n.v. Power Quality Products
CC-43-E3,Trump s.a.
F8-C0-91,Highgates Technology
AC-9B-84,Smak Tecnologia e Automacao
90-F2-78,Radius Gateway
80-66-29,Prescope Technologies Ltd
24-1F-2C,Calsys Inc.
F0-BD-F1,Sipod Inc.
64-67-07,Beijing Omnific Technology Ltd
AC-A0-16,Cisco Systems Inc.
58-E7-47,Deltanet AG
40-40-22,ZIV
A8-5B-B0,Shenzhen Dehoo Technology Ltd
44-A6-89,Promax Electronica SA
40-61-8E,Stella-Green Co
68-E4-1F,Unglaube Identech GmbH
4C-60-D5,airPointe Of New Hampshire
88-87-17,Canon Inc.
6C-DC-6A,Promethean Limited
90-55-AE,Ericsson, EAB/RWI/K
10-10-B6,McCain Inc
00-93-63,Uni-Link Technology Ltd
D4-82-3E,Argosy Technologies Ltd
00-35-32,Electro-Metrics Corporation
08-1F-F3,Cisco Systems Inc.
44-37-6F,Young Electric Sign Co
38-9F-83,OTN Systems N.V.
BC-6A-16,tdvine
00-3A-9D,NEC Platforms Ltd
28-CD-4C,Individual Computers GmbH
8C-53-F7,A&D Engineering Ltd
7C-76-73,ENMAS GmbH
6C-6F-18,Stereotaxis Inc.
84-C7-27,Gnodal Ltd
08-76-95,Auto Industrial Ltd
AC-CE-8F,HWA YAO Technologies Ltd
8C-92-36,Aus.Linx Technology Ltd
10-C7-3F,Midas Klark Teknik Ltd
F8-91-2A,GLP German Light Products GmbH
44-E4-9A,Omnitronics Pty Ltd
08-F2-F4,Net One Partners Ltd
0C-7D-7C,Kexiang Information Technology Ltd
30-37-A6,Cisco Systems Inc.
DC-1D-9F,U & B tech
78-5C-72,Hioso Technology Ltd
58-05-56,Elettronica GF S.r.L.
B0-90-74,Fulan Electronics Limited
94-F6-92,Geminico Ltd
68-EF-BD,Cisco Systems Inc.
F0-24-08,Talaris (Sweden) AB
80-81-A5,TONGQING CoMMUNICATION EQUIPMENT (Shenzhen) Ltd
B4-82-FE,Askey Computer Corp
30-7C-30,RIM
BC-4E-3C,Core Staff Ltd
50-2A-8B,Telekom Research and Development Sdn Bhd
EC-43-E6,AWCER Ltd
78-12-B8,Orantek Limited
98-BC-99,Edeltech Ltd
F0-2F-D8,Bi2-Vision
54-42-49,Sony Corporation
90-47-16,Rorze Corporation
10-44-5A,Shaanxi Hitech Electronic Ltd
F4-76-26,Viltechmeda UAB
0C-17-F1,Telecsys
00-3A-9B,Cisco Systems Inc.
2C-34-27,Erco & Gener
80-91-2A,Lih Rong electronic Enterprise Ltd
7C-2F-80,Gigaset Communications GmbH
10-B7-F6,Plastoform Industries Ltd
44-8E-81,VIG
88-94-F9,Gemicom Technology Inc.
50-2A-7E,Smart electronic GmbH
5C-87-78,Cybertelbridge Ltd
38-BB-23,OzVision America LLC
0C-84-11,A.O. Smith Water Products
E0-AB-FE,Orb Networks Inc.
44-83-12,Star-Net
A0-5D-E7,DIRECTV Inc.
08-76-18,ViE Technologies Sdn. Bhd.
D0-E4-0B,Wearable Inc.
74-7E-1A,Red Embedded Design Limited
14-A8-6B,Shenzhen Telacom Science & Technology Ltd
0C-C3-A7,Meritec
DC-E2-AC,Lumens Digital Optics Inc.
98-D8-8C,Nortel Networks
78-19-2E,NASCENT Technology
48-EB-30,Eterna Technology Inc.
4C-32-2D,Teledata Networks
AC-86-7E,Create New Technology (HK) Limited Company
8C-59-8B,C Technologies AB
D4-4C-A7,Informtekhnika & Communication LLC
A8-C2-22,TM-Research Inc.
